,Units,scenario,region,sector,subsector,technology,Year,value
169,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2050,7.23107
170,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2055,7.03168
171,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2060,6.90418
172,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2065,6.78107
173,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2070,6.71675
174,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2075,6.69481
175,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2080,6.6935
176,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2085,6.69213
177,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2090,6.69075
178,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2095,6.69097
179,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2100,6.68959
180,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,wind,electrolysis,2005,12.9611
181,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,wind,electrolysis,2010,12.9891
182,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,wind,electrolysis,2015,13.075
183,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,wind,electrolysis,2020,11.8474
184,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,wind,electrolysis,2025,10.7224
185,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,wind,electrolysis,2030,9.81154
186,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,wind,electrolysis,2035,8.99532
187,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,wind,electrolysis,2040,8.27757
188,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,wind,electrolysis,2045,7.86738
189,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,wind,electrolysis,2050,7.5289
